m a m p a	a_Consonants-bad		
m a n t a	a_Consonants-bad		
m a N k a	a_Consonants-bad		
m a m b a	a_Consonants-good		
m a n d a	a_Consonants-good		
m a N g a	a_Consonants-good		
m a n b a	a_Consonants-bad		
m a m d a	a_Consonants-bad		
m a t p a	a_Consonants-bad		
m a n g a	a_Consonants-bad		
u m a	a_Consonants-bad		
a a m a	a_Consonants-bad		
m a k	a_Consonants-bad		
m o m o m a	singleC_good	705	6.370734
m e m e m a	singleC_good	601	5.654277
m i m i m a	singleC_good	507	3.045542
m u m u m a	singleC_good	845	2.278214
m i m a m a	singleC_good	1220	1.912923
m u m a m a	singleC_good	1815	1.906579
m o m e m a	singleC_good	156	1.438388
m e m u m a	singleC_good	264	1.32961
m e m a m a	singleC_good	655	1.285292
m o m a m a	singleC_good	650	1.250037
m a m i m a	singleC_good	532	0.8341599
m u m i m a	singleC_good	180	0.7243854
m i m u m a	singleC_good	179	0.7203611
m a m a m a	singleC_good	1539	0.6298793
m a m u m a	singleC_good	587	0.6166182
m o m i m a	singleC_bMarginal	23	0.1694558
m o m u m a	singleC_bMarginal	20	9.87E-02
m e m i m a	singleC_bad	3	2.26E-02
m u m e m a	singleC_bad	4	0.0201456
m a m e m a	singleC_bad	3	5.89E-03
m u m o m a	singleC_bad	1	4.94E-03
m a m o m a	singleC_bad	1	1.92E-03
m e m o m a	singleC_bad	0	0
m i m e m a	singleC_bad	0	0
m i m o m a	singleC_bad	0	0
m o n d o m a	Cluster_good	705	6.370734
m e n d e m a	Cluster_good	601	5.654277
m i n d i m a	Cluster_good	507	3.045542
m u n d u m a	Cluster_good	845	2.278214
m i n d a m a	Cluster_good	1220	1.912923
m u n d a m a	Cluster_good	1815	1.906579
m o n d e m a	Cluster_good	156	1.438388
m e n d u m a	Cluster_good	264	1.32961
m e n d a m a	Cluster_good	655	1.285292
m o n d a m a	Cluster_good	650	1.250037
m a n d i m a	Cluster_good	532	0.8341599
m u n d i m a	Cluster_good	180	0.7243854
m i n d u m a	Cluster_good	179	0.7203611
m a n d a m a	Cluster_good	1539	0.6298793
m a n d u m a	Cluster_good	587	0.6166182
m o n d i m a	Cluster_bMarginal	23	0.1694558
m o n d u m a	Cluster_bMarginal	20	9.87E-02
m e n d i m a	Cluster_bad	3	2.26E-02
m u n d e m a	Cluster_bad	4	0.0201456
m a n d e m a	Cluster_bad	3	5.89E-03
m u n d o m a	Cluster_bad	1	4.94E-03
m a n d o m a	Cluster_bad	1	1.92E-03
m e n d o m a	Cluster_bad	0	0
m i n d e m a	Cluster_bad	0	0
m i n d o m a	Cluster_bad	0	0
ch o m b i r a	Real		
k u n zv a i k a	Real
k w a sv a i r a	Real
d u u m u k a	Real
k u bv u m u k a	Real
ch o r o r o dz a	Real
m a ch a	Real
m u ch u dz a	Real
d e k a	Real
m e m e t e r a	Real
ch a k a ch a	Real
bh e r a	Real
g o n d w a	Real
d e N g e n d e k a	Real
e dz e s e r a	Real
a dh a	Real
dz i v a i dz a	Real
g a a r i r a	Real
g w a d a r a	Real
a k i t a	Real
a m b u r a	Real
a m w a	Real
a N g a r a	Real
a N g a r a r a	Real
a n zv a	Real
a sh a n u dz a	Real
a t s a m a	Real
a u d y u dz a	Real
a w a j a t i dz a	Real
b a a s a	Real
b a b a dz a	Real
b a b a n d u r a	Real
b a d a n u r a	Real
b a d a r i k a	Real
b a d u k a	Real
b a dz u r a	Real
b a k a	Real
b a m b a	Real
b a m b i r a	Real
b a m h i r a	Real
b a m u dz a	Real
b a m u k a	Real
b a m u r a	Real
b a n d a	Real
b a n d a	Real
b a n d a n a	Real
b a n d a n d a	Real
b a n d a n u r a	Real
b a n d a r a r a	Real
b a n d a r i r a	Real
b a n d i k a	Real
b a n d i r a	Real
b a n d u dz a	Real
b a n d u k a	Real
b a n d u r a	Real
b a N g a	Real
b a N g a n a	Real
b a N g a n a k a	Real
b a N g a n u dz a	Real
b a N g a n u r a	Real
b a N g a r a dz a	Real
b a N g u dz a	Real
b a N g u r a	Real
b a n h a	Real
b a n i dz a	Real
b a n i k a	Real
b a n i k i r a	Real
b a n i r a	Real
b a n z a n u k a	Real
b a n z a n u r a	Real
b a n z u dz a	Real
b a n z u r a	Real
b a p a i r a	Real
b a p a m u r a	Real
b a pf u r a	Real
b a r a	Real
b a r a b a d i dz a	Real
b a r a b a d i k a	Real
b a r a b a d u dz a	Real
b a r a b a d u k a	Real
b a r a r a	Real
b a r a r a dz a	Real
b a r a t a	Real
b a r i dz a	Real
b a r i s a	Real
b a r i t s a	Real
b a r i t s a	Real
b a s a	Real
b a t a n a	Real
b a t a n i dz a	Real
b a t a n u r a	Real
b a t i dz a	Real
b a t i k a n a	Real
b a t i r a	Real
b a t i r a n a	Real
b a t i r i r a	Real
b a t i s i k a	Real
b a t s a	Real
b a t s i dz a	Real
b a t s i r a	Real
b a t s i r i dz a	Real
b a u k i r a	Real
b a u r a	Real
b a y a	Real
b a y a	Real
b a y a	Real
b a z u k a	Real
b e a r u k a	Real
b e b a i r a	Real
b e b e n u dz a	Real
b e b e n u dz a	Real
b e b e n u k a	Real
b e b e n u r a	Real
b e b e n u r a	Real
b e b e r a	Real
b e b u r a	Real
b e ch e n u r a	Real
b e ch u k a	Real
b e d u k a	Real
b e d u r a	Real
b e f u r a	Real
b e g u m u r a	Real
b e k a	Real
b e k u dz a	Real
b e k u r a	Real
b e n e N g u dz a	Real
b e n e N g u r a	Real
b e N g e n u dz a	Real
b e N g e n u k a	Real
b e n h u k a	Real
b e n h u r a	Real
b e n u k a	Real
b e n y a	Real
b e p e t u dz a	Real
b e p e t u r a	Real
b e p u dz a	Real
b e r e b e d a	Real
b e r e dz a	Real
b e r e r e dz a	Real
b e r e s a	Real
b e s a	Real
b e t a	Real
b e t a r a n a r a	Real
b e t e k u r i r a	Real
b e t s e r a	Real
bh a bh a dz a	Real
bh a bh a m a	Real
bh a bh a n a r a	Real
bh a bh a n u k a	Real
bh a bh a u r a	Real
bh a d b a r a	Real
bh a d b a r i k a	Real
bh a dh a n u k a	Real
bh a dh a n u r a	Real
bh a dh u r a	Real
bh a g a m u r a	Real
bh a g u dz a	Real
bh a g u k a	Real
bh a g u r a	Real
bh a m a dz a	Real
bh a m a r a dz a	Real
bh a m b a	Real
bh a m h a dz a	Real
bh a n a	Real
bh a n d a	Real
bh a n y a	Real
bh a p a t i dz a	Real
bh a r a	Real
bh a r a	Real
bh a r a n z a	Real
bh a r i r a	Real
bh a r u k a	Real
bh a r u r a	Real
bh a zh u r a	Real
bh e bh a	Real
bh e bh e n u k a	Real
bh e bh e n u r a	Real
bh e bh u dz a	Real
bh e bh u r a	Real
bh e ch a	Real
bh e dh e n a k a	Real
bh e dh e n a r a	Real
bh e j a	Real
bh e k a	Real
bh e m a	Real
bh e n d a	Real
bh e n d e dz a	Real
bh e n d e k a	Real
bh e n d e r a	Real
bh e n dz a	Real
bh e N g a	Real
bh e u k a	Real
bh e u r a	Real
bh e u r a	Real
bh e u t s a	Real
bh i bh i dz a	Real
bh i bh i r i k a	Real
bh i dh a i r a	Real
bh i dh i r i dz a	Real
bh i dh i r i k a	Real
bh i g i dh i dz a	Real
bh i g i dh i k a	Real
bh i g i dz a	Real
bh i m h i dz a	Real
bh i m h u r a	Real
bh i m u dz a	Real
bh i m u r a	Real
bh i n y a	Real
bh i r i dh a	Real
bh i r i dh a	Real
bh i s a	Real
bh i t a	Real
bh o d y o dz a	Real
bh o d y o k a	Real
bh o d y o r a	Real
bh o f o dz a	Real
bh o g o dz a	Real
bh o g o k a	Real
bh o g o r a	Real
bh o m a	Real
bh o n d a	Real
bh o n d a	Real
bh o N g o zh o r a	Real
bh o sv o N g a	Real
bh o vh o dz a	Real
bh o vh o k a	Real
bh o vh o r a	Real
bh o v o r a	Real
bh u bh a	Real
bh u bh u d y u k a	Real
bh u bh u d y u r a	Real
bh u bh u dz a	Real
bh u ch a	Real
bh u f u r a	Real
bh u g u dz a	Real
bh u g u j a	Real
bh u g u k a	Real
bh u g u m u dz a	Real
bh u g u m u k a	Real
bh u g u m u s a	Real
bh u g u m u t s a	Real
bh u g u r a	Real
bh u m u dz a	Real
bh u m u r a	Real
bh u r a ch a	Real
bh u r u r u dz a	Real
bh u r u r u k a	Real
bh u r u r u s a	Real
bh u r u r u t s a	Real
bh u r u v a r a	Real
bh u vh u r a	Real
bh u y a	Real
b i b i dz a	Real
b i b i dz a	Real
b i b i n u dz a	Real
b i b i n u k a	Real
b i b i n u r a	Real
b i b i r i k a	Real
b i b i r i t s a	Real
b i b i t a	Real
b i b i t i r a	Real
b i b i t s a	Real
b i d a i r a	Real
b i d i n u k a	Real
b i d i r i dz a	Real
b i d i r i k a	Real
b i d y u dz a	Real
b i d y u r a	Real
b i dz a	Real
b i k u r a	Real
b i m a	Real
b i n d i r a	Real
b i n d u dz a	Real
b i n d u k a	Real
b i n d u r a	Real
b i n d u t s a	Real
b i N g a	Real
b i N g u n u r a	Real
b i n h a	Real
b i n y a	Real
b i n y a i dz a	Real
b i n z a	Real
b i p i t a	Real
b i p i t i r a	Real
b i r a	Real
b i r i b i d i dz a	Real
b i r i b i d i k a	Real
b i r i sh a	Real
b i r i sh a	Real
b i sh a	Real
b i sh i N g a	Real
b i t i dz a	Real
b i t i t a	Real
b i t i t s a	Real
b i v i r a	Real
b i y a	Real
b i zh a	Real
b i z u dz a	Real
b i z u k a	Real
b o b o dz a	Real
b o b o dz a	Real
b o d a n a	Real
b o d b a	Real
b o d o dz a	Real
b o d o k a	Real
b o d o k a	Real
b o d o r a	Real
b o d o t s a	Real
b o dz a	Real
b o k a	Real
b o k o dz a	Real
b o k o n o r a	Real
b o k o r a	Real
b o k o r e r a	Real
b o m b a	Real
b o m b a i r a	Real
b o m e r w a	Real
b o m h a	Real
b o m h a r a	Real
b o m h e s a	Real
b o m h o dz a	Real
b o m h o r a	Real
b o m o dz a	Real
b o m o k a	Real
b o m o r a	Real
b o m o s a	Real
b o n a	Real
b o n d a	Real
b o n d e k a	Real
b o n d e r a	Real
b o n d o k a	Real
b o n d o k o t a	Real
b o n d o r a	Real
b o N g o k a	Real
b o N g o m a	Real
b o N g o r a	Real
b o N g o z e k a	Real
b o n h o k a	Real
b o n h o r a	Real
b o n j o dz a	Real
b o n j o r a	Real
b o n o k a	Real
b o n o r a	Real
b o n o r a	Real
b o n y a	Real
b o n y a	Real
b o n y o r a	Real
b o o dz a	Real
b o o dz a	Real
b o o k a	Real
b o o r a	Real
b o o r a	Real
b o o t s a	Real
b o p a	Real
b o p e r a	Real
b o p o m a	Real
b o p o m e k a	Real
b o p o m o dz a	Real
b o p o m o r a	Real
b o p o n o r a	Real
b o p o t a	Real
b o r e k a	Real
b o r o N g e r a	Real
b o r o N g o t a	Real
b o t s a	Real
b o v a	Real
b o v e dz a	Real
b o v e r a	Real
b o v e r a	Real
b o w a	Real
b o y a	Real
b o y a	Real
b o z a	Real
b o zh a	Real
b o zv a	Real
b r i k i n y i dz a	Real
b r i N g a	Real
b r i N g i n y a	Real
b r i n h a	Real
b r i n i n a	Real
b r i n y a	Real
b r i r i n y i k a	Real
b s e m b e r e k a	Real
b s e n y a	Real
b s i b w i dz a	Real
b s o d o dz a	Real
b s o k o dz a	Real
b s o k o r a	Real
b s u m b u r u k a	Real
b s u N g a n i s a	Real
b u b a	Real
b u b u d u r a	Real
b u b u dz a	Real
b u b u dz a	Real
b u b u n a	Real
b u b u n u k a	Real
b u b u n y a	Real
b u b u n y u dz a	Real
b u b u n y u k a	Real
b u b u n y u r a	Real
b u ch a	Real
b u ch u n y a	Real
b u d a	Real
b u d i k i dz a	Real
b u d u dz a	Real
b u f u dz a	Real
b u f u r a	Real
b u g u m u t s a	Real
b u i a	Real
b u k a	Real
b u m b a	Real
b u m b a i r a	Real
b u m b a t a	Real
b u m b u dz a	Real
b u m b u n u dz a	Real
b u m b u z i r a	Real
b u m u dz a	Real
b u n a r a	Real
b u n b i r a	Real
b u n d a	Real
b u n d a	Real
b u n d u dz a	Real
b u n d u k u r a	Real
b u n d u k u t a	Real
b u n d u n u dz a	Real
b u n d u n u k a	Real
b u n d u r a	Real
b u N g a	Real
b u N g a dz a	Real
b u n u r a	Real
b u n u r i k a	Real
b u n y a	Real
b u p u N g a	Real
b u p u t i r a	Real
b u r a	Real
b u r a	Real
b u r a p u r a	Real
b u r a r a n a	Real
b u r a r u r a	Real
b u r i dz a	Real
b u r i k a	Real
b u r i k i r a	Real
b u r i s a	Real
b u r i t s a	Real
b u r u k a	Real
b u r u k a	Real
b u r u k u t a	Real
b u r u m b u dz a	Real
b u r u N g a	Real
b u r u r a	Real
b u r u s a	Real
b u r u sh a	Real
b u r u sh a n a	Real
b u r u t s a	Real
b u s a	Real
b u t i k a	Real
b u t s a	Real
b u u r a	Real
b u u r u r a	Real
b u v a i dz a	Real
bv a	Real
bv a bv a dz a	Real
bv a bv a m a	Real
bv a j u dz a	Real
bv a j u k a	Real
bv a j u r a	Real
bv a k a ch a	Real
bv a k a ch a r a	Real
bv a m b a dz u k a	Real
bv a m b a dz u r a	Real
bv a m b a z u k a	Real
bv a m b a z u r a	Real
bv a m b u dz a	Real
bv a m b u k a	Real
bv a m b u k i r a	Real
bv a m b u r a	Real
bv a m b u r u dz a	Real
bv a m b u t s a	Real
bv a n a	Real
bv a n d a dz u r a	Real
bv a n d a n u dz a	Real
bv a n d a n u k a	Real
bv a n d a n u r a	Real
bv a n d a n y u dz a	Real
bv a n d a n y u k a	Real
bv a n d i k a	Real
bv a N g a n i dz a	Real
bv a N g a n y i dz a	Real
bv a N g a n y i k a	Real
bv a N g a n y u dz a	Real
bv a N g a n y u k a	Real
bv a N g a n y u r a	Real
bv a N g a n y u t s a	Real
bv a N g a r a dz a	Real
bv a n y a	Real
bv a n y a N g u dz a	Real
bv a n y a N g u k a	Real
bv a n y a N g u r a	Real
bv a n y u dz a	Real
bv a n y u k a	Real
bv a n y u r a	Real
bv a n z u dz a	Real
bv a n z u k a	Real
bv a r a n u r a	Real
bv a r a n y u dz a	Real
bv a r a n y u k a	Real
bv a r a n y u r a	Real
bv a r a pf a t a	Real
bv a r a p i a dz a	Real
bv a r u dz a	Real
bv a r u r a	Real
bv a r u r a n y a	Real
bv a t u dz a	Real
bv a t u k a	Real
bv a t u r a	Real
bv a u dz a	Real
bv a u k a	Real
bv a u r a	Real
bv e bv e m a dz a	Real
bv e bv e m a r a	Real
bv e bv e v a dz a	Real
bv e bv e v a r a	Real
bv e m b e r e dz a	Real
bv e N g e dz a	Real
bv e N g e n y a	Real
bv e N g e n y e dz a	Real
bv e N g e n y e k a	Real
bv e n y u dz a	Real
bv e n y u k a	Real
bv e n y u r a	Real
bv e r e n y u r a	Real
bv e y e s a	Real
bv i bv i dz a	Real
bv i bv i dz a	Real
bv i bv i m a	Real
bv i bv i t a	Real
bv i dz a	Real
bv i dz a n a	Real
bv i dz i k a	Real
bv i k a	Real
bv i n a r a	Real
bv i n d i r i dz a	Real
bv i n d i r i k a	Real
bv i n d u r a	Real
bv i n y i N g a	Real
bv i n z a	Real
bv i r a	Real
bv i r i pf i n d a	Real
bv i r i r a	Real
bv i r i v i n d a	Real
bv i s a	Real
bv i t a	Real
bv i t a	Real
bv o ch a	Real
bv o ch a n i s a	Real
bv o d o g o dz a	Real
bv o d o g o k a	Real
bv o d o g o r a	Real
bv o d o r a	Real
bv o d y o dz a	Real
bv o d y o k a	Real
bv o d y o r a	Real
bv o j o m o k a	Real
bv o k a	Real
bv o k o ch a	Real
bv o k o r a	Real
bv o N g o dz a	Real
bv o N g o n y a	Real
bv o N g o n y e dz a	Real
bv o N g o r o r a	Real
bv o n y e dz a	Real
bv o n y e r a	Real
bv o n y o N g a	Real
bv o n y o N g e dz a	Real
bv o o dz a	Real
bv o o r a	Real
bv o r o m o dz a	Real
bv o r o m o k a	Real
bv o r o N g a	Real
bv o r o N g o n y a	Real
bv o r o N g o t a	Real
bv o t a	Real
bv o t o dz a	Real
bv o t o k a	Real
bv o t o m o dz a	Real
bv o t o m o k a	Real
bv o t o r a	Real
bv u bv a	Real
bv u bv u dz a	Real
bv u bv u m a dz a	Real
bv u bv u m a r a	Real
bv u bv u m i r a	Real
bv u bv u n y u k a	Real
bv u bv u n y u r a	Real
bv u bv u r a	Real
bv u bv u r u dz a	Real
bv u bv u v a dz a	Real
bv u bv u v a r a	Real
bv u bv u w a dz a	Real
bv u bv u w a r a	Real
bv u ch a	Real
bv u ch u dz a	Real
bv u ch u k a	Real
bv u ch u r a	Real
bv u i n a	Real
bv u j a	Real
bv u j u dz a	Real
bv u j u k a	Real
bv u j u m u dz a	Real
bv u j u m u k a	Real
bv u j u m u r a	Real
bv u j u n u k a	Real
bv u j u n u r a	Real
bv u j u r a	Real
bv u k i r a	Real
bv u k u ch a	Real
bv u k u dz a	Real
bv u k u r a	Real
bv u k u r a r a	Real
bv u k u r a t a	Real
bv u k u r i r a	Real
bv u k u t a	Real
bv u k u t a	Real
bv u k u t u k a	Real
bv u k u t u r a	Real
bv u m b a	Real
bv u m b a m a	Real
bv u m b a n a	Real
bv u m b a n i dz a	Real
bv u m b u k a	Real
bv u m b u m u r a	Real
bv u m b u r a	Real
bv u m i r a	Real
bv u m i s a	Real
bv u n d a	Real
bv u n d i r a	Real
bv u N g u n j a	Real
bv u N g u n j u dz a	Real
bv u N g u n j u k a	Real
bv u n i t u dz a	Real
bv u n u r a	Real
bv u n y a i dz a	Real
bv u n y i N g i dz a	Real
bv u r a	Real
bv u r a i dz a	Real
bv u r i r a	Real
bv u r u bv u j u dz a	Real
bv u r u bv u j u k a	Real
bv u r u dz a	Real
bv u r u m u k a	Real
bv u r u n u r a	Real
bv u r u n u r a	Real
bv u r u n y u k a	Real
bv u r u n y u r a	Real
bv u r u n y u r a	Real
bv u r u r u dz a	Real
bv u r u r u k a	Real
bv u r u r u s a	Real
bv u r u r u t s a	Real
bv u r u u n d a	Real
bv u r u v a dz a	Real
bv u r u v a r a	Real
bv u u dz a	Real
bv u u k a	Real
bv u u r u r a	Real
bv u v a n a	Real
bv u v i k a	Real
bv u v i r a	Real
bv u w a	Real
bv u w a t a	Real
b w a b w a d a	Real
b w a b w a d a	Real
b w a b w a dz a	Real
b w a b w a m a	Real
b w a b w a t a	Real
b w a d a	Real
b w a d a dz a	Real
b w a d a g a dz a	Real
b w a d a m a r a	Real
b w a d i k a	Real
b w a dz i k a	Real
b w a g a dz a	Real
b w a g a m a dz a	Real
b w a g a m a k a	Real
b w a g a m u r a	Real
b w a g a r a	Real
b w a g u dz a	Real
b w a g u k a	Real
b w a i dz a	Real
b w a i dz i k a	Real
b w a i r a	Real
b w a n d a dz a	Real
b w a n d i r a	Real
b w a n y a	Real
b w a n y a r a	Real
b w a n y u dz a	Real
b w a n y u k a	Real
b w a t a	Real
b w a t a t a	Real
b w a t a u r a	Real
b w a t a z a	Real
b w a t s a	Real
b w a zh a	Real
b w a zh a m a r a	Real
b w a zh a m u k a	Real
b w a zh a n y u r a	Real
b w a zh a t a	Real
b w a zh a u k a	Real
b w a zh u dz a	Real
b w a z u k a	Real
b w a z u r a	Real
b w e b w e dz a	Real
b w e dz a	Real
b w e g e m u dz a	Real
b w e g e m u r a	Real
b w e g e s u k a	Real
b w e n d a	Real
b w e n d a m a	Real
b w e N g a	Real
b w e N g e z u k a	Real
b w e N g e z u r a	Real
b w e n y a m a	Real
b w e r a	Real
b w e r e b w e t a	Real
b w e r e k e t a	Real
b w e r e k e t e r a	Real
b w e r e N g e dz a	Real
b w e sh u k a	Real
b w e sh u r a	Real
b w e t a	Real
b w e y a m a	Real
b w e zh u k a	Real
b w e zh u r a	Real
b w e z u k a	Real
b w e z u r a	Real
b w i b w i N g a	Real
b w i b w i n y a	Real
b w i b w i n y a	Real
b w i d i N g a	Real
b w i dz a	Real
b w i m b a	Real
b w i m b u r a	Real
b w i n d a	Real
b w i n d i k a	Real
b w i N g a	Real
b w i N g u r a	Real
b w i n y a	Real
b w i r a	Real
b w i r i dz a	Real
b w i r i dz i r a	Real
b w i r i r a	Real
b w i r u b u r a	Real
b w i r u d u r a	Real
b w i r u dz a	Real
b w i t i r a	Real
b w i t u dz a	Real
b w i t u k a	Real
b w o d o dz a	Real
b w o d o g o k a	Real
b w o d o k a	Real
b w o g o d o k a	Real
b w o g o dz a	Real
b w o g o k a	Real
b w o g o r a	Real
b w o n d o m o k a	Real
b w o t o m o k a	Real
b zv a n y a	Real
b zv a r a	Real
b zv a t a	Real
b zv a t s a	Real
b zv i n y i r a	Real
b zv o k o r a	Real
b zv o n d o dz a	Real
b zv o n d o k a	Real
b zv o n d o r a	Real
b zv o N g a	Real
b zv o N g a m a	Real
b zv o v a	Real
ch a bv a dz a	Real
ch a bv a n y a	Real
ch a bv u k a	Real
ch a bv u r a	Real
ch a b w i r a	Real
ch a ch a d a	Real
ch a ch a d u dz a	Real
ch a ch a d u k a	Real
ch a ch a d u r a	Real
ch a ch a dz a	Real
ch a ch a dz a	Real
ch a ch a m a	Real
ch a ch a m a r a	Real
ch a ch a n u k a	Real
ch a ch a n u r a	Real
ch a ch a n y a	Real
ch a ch a p u dz a	Real
ch a ch a p u k a	Real
ch a ch a p u r a	Real
ch a ch a r i dz a	Real
ch a ch a r i k a	Real
ch a ch a t a	Real
ch a ch a v a dz a	Real
ch a ch a v a r a	Real
ch a ch u k a	Real
ch a d u dz a	Real
ch a d u k a	Real
ch a d u r a	Real
ch a f i r a	Real
ch a k a n y a	Real
ch a k a t i dz a	Real
ch a k a t i k a	Real
ch a k u r a	Real
ch a m a	Real
ch a N g a m a r a	Real
ch a N g a m i s a	Real
ch a N g a m u k a	Real
ch a n j a i dz a	Real
ch a n j a i k a	Real
ch a n j a m a dz a	Real
ch a n j a m a r a	Real
ch a n j a n j i k a	Real
ch a n y a N g u r a	Real
ch a n y a u dz a	Real
ch a n y a u k a	Real
ch a n y a u r a	Real
ch a p a	Real
ch a p u k a	Real
ch a p u r a	Real
ch a r a dz a	Real
ch a r i dz a	Real
ch a r u k a	Real
ch a t a	Real
ch a t a dz i s a	Real
ch a t a n u r a	Real
ch a t i dz a	Real
ch a t i k a	Real
ch a t u k a	Real
ch a v a N g a	Real
ch a y a	Real
ch a z a	Real
ch e b u r a	Real
ch e ch e m a dz a	Real
ch e ch e m a r a	Real
ch e ch e n e dz a	Real
ch e ch e n e k a	Real
ch e ch e N g a	Real
ch e ch e N g a n a	Real
ch e ch e n y a	Real
ch e ch e n y e dz a	Real
