word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
S N,2,-6.0533724296886255,nan,-5.67086114471558,nan,-5.693833767919644,nan,1.15212315638598,nan,1.152154872050761,nan,1.015970695970696,nan,1.0150499384320701,nan
S W,2,-5.5238142696863,nan,-5.3317711055522885,nan,-5.346645693404892,nan,1.2170315812944048,nan,1.2168547406063328,nan,1.0224175824175825,nan,1.021069913804898,nan
S W,2,-5.5238142696863,nan,-5.3317711055522885,nan,-5.346645693404892,nan,1.2170315812944048,nan,1.2168547406063328,nan,1.0224175824175825,nan,1.021069913804898,nan
TH W,2,-8.370582390100333,nan,-8.975914665824835,nan,-8.853086635838807,nan,1.0887802618038704,nan,1.08869253235064,nan,1.0005860805860807,nan,1.0006840881105485,nan
TH W,2,-8.370582390100333,nan,-8.975914665824835,nan,-8.853086635838807,nan,1.0887802618038704,nan,1.08869253235064,nan,1.0005860805860807,nan,1.0006840881105485,nan
T L,2,-5.47338805528198,nan,-inf,nan,-10.723933072813534,nan,1.2549660320400815,nan,1.254461010569259,nan,1,1,1.0001368176221097,1.0
T L,2,-5.47338805528198,nan,-inf,nan,-10.723933072813534,nan,1.2549660320400815,nan,1.254461010569259,nan,1,1,1.0001368176221097,1.0
T R,2,-4.604325612247842,nan,-4.157761463285176,nan,-4.169443591145553,nan,1.5195814166554662,nan,1.5182261631908451,nan,1.0754578754578754,nan,1.0705978930086195,nan
T R,2,-4.604325612247842,nan,-4.157761463285176,nan,-4.169443591145553,nan,1.5195814166554662,nan,1.5182261631908451,nan,1.0754578754578754,nan,1.0705978930086195,nan
T W,2,-6.1005204888118465,nan,-6.6986473808150775,nan,-6.705802211844849,nan,1.1351125521866017,nan,1.1349926302567135,nan,1.008058608058608,nan,1.0076617868381448,nan
T W,2,-6.1005204888118465,nan,-6.6986473808150775,nan,-6.705802211844849,nan,1.1351125521866017,nan,1.1349926302567135,nan,1.008058608058608,nan,1.0076617868381448,nan
V L,2,-6.843288606626195,nan,-inf,nan,-10.40637618226454,nan,1.2201694074074845,nan,1.2196885632332517,nan,1,1,1.0001368176221097,1.0
V L,2,-6.843288606626195,nan,-inf,nan,-10.40637618226454,nan,1.2201694074074845,nan,1.2196885632332517,nan,1,1,1.0001368176221097,1.0
V R,2,-5.974226163592057,nan,-inf,nan,-10.401537442830369,nan,1.4847847920228692,nan,1.4834537158548378,nan,1,1,1.0001368176221097,1.0
V R,2,-5.974226163592057,nan,-inf,nan,-10.401537442830369,nan,1.4847847920228692,nan,1.4834537158548378,nan,1,1,1.0001368176221097,1.0
V W,2,-7.470421040156062,nan,-inf,nan,-10.413597012031003,nan,1.1003159275540046,nan,1.1002201829207061,nan,1,1,1.0001368176221097,1.0
V W,2,-7.470421040156062,nan,-inf,nan,-10.413597012031003,nan,1.1003159275540046,nan,1.1002201829207061,nan,1,1,1.0001368176221097,1.0
Z R,2,-7.977007823601976,nan,-inf,nan,-10.599068418287853,nan,1.4679711641350022,nan,1.4666517703664128,nan,1,1,1.0001368176221097,1.0
Z R,2,-7.977007823601976,nan,-inf,nan,-10.599068418287853,nan,1.4679711641350022,nan,1.4666517703664128,nan,1,1,1.0001368176221097,1.0
